Weight	Self Weight	Symbol Names
20.54 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.54 ms   0.0%	20.54 ms	                 swift_task_dealloc
1.53 ms   0.0%	1.53 ms	                swift_task_dealloc
21.25 ms   0.0%	0 s	               DYLD-STUB$$swift_task_alloc
21.25 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
21.25 ms   0.0%	21.25 ms	                 DYLD-STUB$$swift_task_alloc
12.61 ms   0.0%	0 s	               swift_task_alloc
12.04 ms   0.0%	12.04 ms	                swift_task_alloc
567.12 µs   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
567.12 µs   0.0%	567.12 µs	                 swift_task_alloc
11.99 ms   0.0%	0 s	               DYLD-STUB$$swift_task_dealloc
11.99 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
11.99 ms   0.0%	11.99 ms	                 DYLD-STUB$$swift_task_dealloc
11.54 ms   0.0%	0 s	               closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
7.42 ms   0.0%	0 s	                swift_task_alloc
5.75 ms   0.0%	0 s	                 swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
5.75 ms   0.0%	5.75 ms	                  swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
1.67 ms   0.0%	1.67 ms	                 swift_task_alloc
2.55 ms   0.0%	2.55 ms	                closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
1.57 ms   0.0%	0 s	                swift_task_getCurrent
1.57 ms   0.0%	0 s	                 completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
1.57 ms   0.0%	1.57 ms	                  swift_task_getCurrent
6.66 ms   0.0%	0 s	               swift::AsyncTask::getPreferredTaskExecutor(bool)
6.66 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
6.66 ms   0.0%	6.66 ms	                 swift::AsyncTask::getPreferredTaskExecutor(bool)
3.12 ms   0.0%	0 s	               swift::metadataimpl::ValueWitnesses<swift::metadataimpl::NativeBox<unsigned long long, 8ul, 8ul, 8ul>>::destroy(swift::OpaqueValue*, swift::TargetMetadata<swift::InProcess> const*)
3.12 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
3.12 ms   0.0%	2.69 ms	                 swift::metadataimpl::ValueWitnesses<swift::metadataimpl::NativeBox<unsigned long long, 8ul, 8ul, 8ul>>::destroy(swift::OpaqueValue*, swift::TargetMetadata<swift::InProcess> const*)
432.29 µs   0.0%	0 s	                  0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
432.29 µs   0.0%	0 s	                   0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
432.29 µs   0.0%	0 s	                    0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
432.29 µs   0.0%	432.29 µs	                     0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
