Weight	Self Weight	Symbol Names
10.04 µs   0.0%	0 s	                            0xfffffe000889fc60 (kernel.release.t6031 +0x1893cc0) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.04 µs   0.0%	0 s	                             0xfffffe00088e3228 (kernel.release.t6031 +0x18d7317) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.04 µs   0.0%	10.04 µs	                              0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
307.68 ms   0.0%	0 s	                        invocation function for block in dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
307.68 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
307.68 ms   0.0%	307.58 ms	                          invocation function for block in dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
100.21 µs   0.0%	0 s	                           0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
100.21 µs   0.0%	0 s	                            0xfffffe000889fc60 (kernel.release.t6031 +0x1893cc0) <4884B2A4-D648-3989-A74C-9F242960BE5B>
100.21 µs   0.0%	0 s	                             0xfffffe00088e3228 (kernel.release.t6031 +0x18d7317) <4884B2A4-D648-3989-A74C-9F242960BE5B>
100.21 µs   0.0%	100.21 µs	                              0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
11.92 ms   0.0%	0 s	                        DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
11.92 ms   0.0%	0 s	                         DyldSharedCache::forEachCache(void (DyldSharedCache const*, bool&) block_pointer) const
11.92 ms   0.0%	0 s	                          invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
11.67 ms   0.0%	0 s	                           DyldSharedCache::forEachRegion(void (void const*, unsigned long long, unsigned long long, unsigned int, unsigned int, unsigned long long, unsigned long long, bool&) block_pointer) const
6.44 ms   0.0%	0 s	                            DyldSharedCache::mappingName(unsigned int, unsigned long long)
6.44 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
6.44 ms   0.0%	6.44 ms	                              DyldSharedCache::mappingName(unsigned int, unsigned long long)
5.00 ms   0.0%	0 s	                            invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
5.00 ms   0.0%	5.00 ms	                             invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
230.25 µs   0.0%	230.25 µs	                            DyldSharedCache::forEachRegion(void (void const*, unsigned long long, unsigned long long, unsigned int, unsigned int, unsigned long long, unsigned long long, bool&) block_pointer) const
214.54 µs   0.0%	0 s	                           invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
214.54 µs   0.0%	214.54 µs	                            invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
38.83 µs   0.0%	0 s	                           <deduplicated_symbol>
38.83 µs   0.0%	0 s	                            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
38.83 µs   0.0%	38.83 µs	                             <deduplicated_symbol>
10.60 ms   0.0%	0 s	                        dyld4::JustInTimeLoader::contains(dyld4::RuntimeState&, void const*, void const**, unsigned long long*, unsigned char*) const
10.60 ms   0.0%	0 s	                         mach_o::Header::forEachSegment(void (mach_o::Header::SegmentInfo const&, bool&) block_pointer) const
10.60 ms   0.0%	0 s	                          mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
5.49 ms   0.0%	0 s	                           <deduplicated_symbol>
5.49 ms   0.0%	0 s	                            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.49 ms   0.0%	5.49 ms	                             <deduplicated_symbol>
5.00 ms   0.0%	5.00 ms	                           mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
112.83 µs   0.0%	0 s	                           invocation function for block in mach_o::Header::forEachSegment(void (mach_o::Header::SegmentInfo const&, bool&) block_pointer) const
