Weight	Self Weight	Symbol Names
40.02 ms   0.0%	0 s	            swift::TargetContextDescriptor<swift::InProcess>::getGenericContext() const
40.02 ms   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
40.02 ms   0.0%	40.02 ms	              swift::TargetContextDescriptor<swift::InProcess>::getGenericContext() const
10.01 ms   0.0%	0 s	            swift::MetadataCacheEntryBase<swift::GenericCacheEntry, void const*>::awaitSatisfyingState(swift::ConcurrencyControl&, swift::MetadataRequest)
10.01 ms   0.0%	10.01 ms	             swift::MetadataCacheEntryBase<swift::GenericCacheEntry, void const*>::awaitSatisfyingState(swift::ConcurrencyControl&, swift::MetadataRequest)
7.54 µs   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
7.54 µs   0.0%	7.54 µs	              swift::MetadataCacheEntryBase<swift::GenericCacheEntry, void const*>::awaitSatisfyingState(swift::ConcurrencyControl&, swift::MetadataRequest)
5.00 ms   0.0%	0 s	            std::__1::pair<swift::GenericCacheEntry*, bool> swift::StableAddressConcurrentReadableHashMap<swift::GenericCacheEntry, swift::TaggedMetadataAllocator<(unsigned short)14>, swift::Mutex>::getOrInsert<swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
5.00 ms   0.0%	5.00 ms	             std::__1::pair<swift::GenericCacheEntry*, bool> swift::StableAddressConcurrentReadableHashMap<swift::GenericCacheEntry, swift::TaggedMetadataAllocator<(unsigned short)14>, swift::Mutex>::getOrInsert<swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
12.04 µs   0.0%	12.04 µs	            _swift_getGenericMetadata(swift::MetadataRequest, void const* const*, swift::TargetTypeContextDescriptor<swift::InProcess> const*)
5.01 ms   0.0%	5.01 ms	           __swift_instantiateCanonicalPrespecializedGenericMetadata
5.00 ms   0.0%	0 s	           std::__1::pair<swift::GenericCacheEntry*, swift::MetadataResponse> swift::LockingConcurrentMap<swift::GenericCacheEntry, swift::LockingConcurrentMapStorage<swift::GenericCacheEntry, (unsigned short)14>>::getOrInsert<swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
5.00 ms   0.0%	5.00 ms	            std::__1::pair<swift::GenericCacheEntry*, swift::MetadataResponse> swift::LockingConcurrentMap<swift::GenericCacheEntry, swift::LockingConcurrentMapStorage<swift::GenericCacheEntry, (unsigned short)14>>::getOrInsert<swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
5.00 ms   0.0%	0 s	           getCache(swift::TargetTypeContextDescriptor<swift::InProcess> const&)
5.00 ms   0.0%	5.00 ms	            getCache(swift::TargetTypeContextDescriptor<swift::InProcess> const&)
85.08 ms   0.0%	0 s	          _ArrayBuffer._consumeAndCreateNew(bufferIsUnique:minimumCapacity:growForAppend:)
25.00 ms   0.0%	0 s	           _swift_isClassOrObjCExistentialType
25.00 ms   0.0%	0 s	            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
25.00 ms   0.0%	25.00 ms	             _swift_isClassOrObjCExistentialType
20.07 ms   0.0%	0 s	           _ArrayBuffer._copyContents(subRange:initializing:)
15.03 ms   0.0%	0 s	            _swift_isClassOrObjCExistentialType
15.03 ms   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.03 ms   0.0%	15.03 ms	              _swift_isClassOrObjCExistentialType
5.04 ms   0.0%	5.00 ms	            _ArrayBuffer._copyContents(subRange:initializing:)
40.88 µs   0.0%	0 s	             0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.88 µs   0.0%	0 s	              0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.88 µs   0.0%	0 s	               0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.88 µs   0.0%	40.88 µs	                0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	15.00 ms	           _ArrayBuffer._consumeAndCreateNew(bufferIsUnique:minimumCapacity:growForAppend:)
10.00 ms   0.0%	0 s	           swift_release
